Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Province,Country,Island
4/1/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/2/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/3/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/4/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/5/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/6/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/7/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/8/2020,Aceh,0,0,0,0,5,0,0,5,Aceh,Indonesia,Sumatera
4/9/2020,Aceh,0,0,1,-1,5,0,1,4,Aceh,Indonesia,Sumatera
4/10/2020,Aceh,0,0,0,0,5,0,1,4,Aceh,Indonesia,Sumatera
4/11/2020,Aceh,0,0,0,0,5,0,1,4,Aceh,Indonesia,Sumatera
4/12/2020,Aceh,0,0,0,0,5,0,1,4,Aceh,Indonesia,Sumatera
4/13/2020,Aceh,0,0,2,-2,5,0,3,2,Aceh,Indonesia,Sumatera
4/14/2020,Aceh,0,0,0,0,5,0,3,2,Aceh,Indonesia,Sumatera
4/15/2020,Aceh,0,0,0,0,5,0,3,2,Aceh,Indonesia,Sumatera
4/16/2020,Aceh,0,0,0,0,5,0,3,2,Aceh,Indonesia,Sumatera
4/17/2020,Aceh,0,0,0,0,5,0,3,2,Aceh,Indonesia,Sumatera
4/18/2020,Aceh,1,0,0,1,6,0,3,3,Aceh,Indonesia,Sumatera
4/19/2020,Aceh,1,0,0,1,7,0,3,4,Aceh,Indonesia,Sumatera
4/20/2020,Aceh,0,0,0,0,7,0,3,4,Aceh,Indonesia,Sumatera
4/21/2020,Aceh,0,0,0,0,7,0,3,4,Aceh,Indonesia,Sumatera
4/22/2020,Aceh,0,0,0,0,7,0,3,4,Aceh,Indonesia,Sumatera
4/23/2020,Aceh,0,1,0,-1,7,1,3,3,Aceh,Indonesia,Sumatera
4/24/2020,Aceh,1,0,0,1,8,1,3,4,Aceh,Indonesia,Sumatera
4/25/2020,Aceh,1,0,0,1,9,1,3,5,Aceh,Indonesia,Sumatera
4/26/2020,Aceh,0,0,0,0,9,1,3,5,Aceh,Indonesia,Sumatera
4/27/2020,Aceh,0,0,1,-1,9,1,4,4,Aceh,Indonesia,Sumatera
4/28/2020,Aceh,0,0,1,-1,9,1,5,3,Aceh,Indonesia,Sumatera
4/29/2020,Aceh,0,0,1,-1,9,1,6,2,Aceh,Indonesia,Sumatera
4/30/2020,Aceh,1,0,0,1,10,1,6,3,Aceh,Indonesia,Sumatera
5/1/2020,Aceh,1,0,0,1,11,1,6,4,Aceh,Indonesia,Sumatera
5/2/2020,Aceh,0,0,0,0,11,1,6,4,Aceh,Indonesia,Sumatera
5/3/2020,Aceh,1,0,2,-1,12,1,8,3,Aceh,Indonesia,Sumatera
5/4/2020,Aceh,0,0,0,0,12,1,8,3,Aceh,Indonesia,Sumatera
5/5/2020,Aceh,0,0,0,0,12,1,8,3,Aceh,Indonesia,Sumatera
5/6/2020,Aceh,5,0,0,5,17,1,8,8,Aceh,Indonesia,Sumatera
5/7/2020,Aceh,0,0,0,0,17,1,8,8,Aceh,Indonesia,Sumatera
5/8/2020,Aceh,0,0,3,-3,17,1,11,5,Aceh,Indonesia,Sumatera
5/9/2020,Aceh,0,0,0,0,17,1,11,5,Aceh,Indonesia,Sumatera
5/10/2020,Aceh,0,0,0,0,17,1,11,5,Aceh,Indonesia,Sumatera
5/11/2020,Aceh,0,0,1,-1,17,1,12,4,Aceh,Indonesia,Sumatera
5/12/2020,Aceh,0,0,0,0,17,1,12,4,Aceh,Indonesia,Sumatera
5/13/2020,Aceh,0,0,1,-1,17,1,13,3,Aceh,Indonesia,Sumatera
5/14/2020,Aceh,0,0,0,0,17,1,13,3,Aceh,Indonesia,Sumatera
5/15/2020,Aceh,0,0,0,0,17,1,13,3,Aceh,Indonesia,Sumatera
5/16/2020,Aceh,1,0,2,-1,18,1,15,2,Aceh,Indonesia,Sumatera
5/17/2020,Aceh,0,0,0,0,18,1,15,2,Aceh,Indonesia,Sumatera
5/18/2020,Aceh,0,0,0,0,18,1,15,2,Aceh,Indonesia,Sumatera
5/19/2020,Aceh,0,0,0,0,18,1,15,2,Aceh,Indonesia,Sumatera
5/20/2020,Aceh,0,0,0,0,18,1,15,2,Aceh,Indonesia,Sumatera
5/21/2020,Aceh,0,0,0,0,18,1,15,2,Aceh,Indonesia,Sumatera
5/22/2020,Aceh,1,0,1,0,19,1,16,2,Aceh,Indonesia,Sumatera
5/23/2020,Aceh,0,0,1,-1,19,1,17,1,Aceh,Indonesia,Sumatera
5/24/2020,Aceh,0,0,0,0,19,1,17,1,Aceh,Indonesia,Sumatera
5/25/2020,Aceh,0,0,0,0,19,1,17,1,Aceh,Indonesia,Sumatera
5/26/2020,Aceh,0,0,0,0,19,1,17,1,Aceh,Indonesia,Sumatera
5/27/2020,Aceh,0,0,0,0,19,1,17,1,Aceh,Indonesia,Sumatera
5/28/2020,Aceh,1,0,0,1,20,1,17,2,Aceh,Indonesia,Sumatera
5/29/2020,Aceh,0,0,0,0,20,1,17,2,Aceh,Indonesia,Sumatera
5/30/2020,Aceh,0,0,0,0,20,1,17,2,Aceh,Indonesia,Sumatera
5/31/2020,Aceh,0,0,0,0,20,1,17,2,Aceh,Indonesia,Sumatera
6/1/2020,Aceh,0,0,0,0,20,1,17,2,Aceh,Indonesia,Sumatera
6/2/2020,Aceh,0,0,0,0,20,1,17,2,Aceh,Indonesia,Sumatera
6/3/2020,Aceh,0,0,1,-1,20,1,18,1,Aceh,Indonesia,Sumatera
6/4/2020,Aceh,0,0,0,0,20,1,18,1,Aceh,Indonesia,Sumatera
6/5/2020,Aceh,0,0,0,0,20,1,18,1,Aceh,Indonesia,Sumatera
6/6/2020,Aceh,0,0,0,0,20,1,18,1,Aceh,Indonesia,Sumatera
6/7/2020,Aceh,0,0,0,0,20,1,18,1,Aceh,Indonesia,Sumatera
6/8/2020,Aceh,0,0,0,0,20,1,18,1,Aceh,Indonesia,Sumatera
6/9/2020,Aceh,0,0,0,0,20,1,18,1,Aceh,Indonesia,Sumatera
6/10/2020,Aceh,2,0,0,2,22,1,18,3,Aceh,Indonesia,Sumatera
